10,Thomas Hardy
A character created by this author punishes Abel Whittle for coming to work late by making him work without his pants,Thomas Hardy
That same character later asks that no man remember me in his will because he sold his family for five guineas,Thomas Hardy
In a novel by this author，Little Father Time hangs himself because he and his siblings are too menny when his mother， Sue Bridehead，tells him she is having another child,Thomas Hardy
In another Wessex novel by this author，the titular heroine is rejected by Angel Clare and is executed at Stonehenge Castle after killing Alec,Thomas Hardy
For 10 points，name this English author of The Mayor of Casterbridge，Jude the Obscure，and Tess of the d’Urbervilles,Thomas Hardy
In one work by this author，the protagonist gets drunk and sells his wife to Captain Newson,Thomas Hardy
In another novel by this author，a suicide note reading Done because we are too menny is left by Little Father Time，who kills Sue Bridehead’s children,Thomas Hardy
In addition to a novel about  Gabriel Oak’s attempts to marry Bathsheba，this author wrote a novel in which the title character is arrested at Stonehenge after killing Alec and running away with Angel Clare,Thomas Hardy
For 10 points，name this author of Far from the Madding Crowd，and Tess of the d’Urbervilles,Thomas Hardy
One poem from this man’s Satires of Circumstance describes the Immanent Will that stirs and urges everything and describes how as the ship grew the iceberg grew too,Thomas Hardy
 In a novel by this author of The Convergence of the Twain，Gabriel Oak marries the farmer Bathsheba Everdene,Thomas Hardy
That novel by this author takes its title from a Thomas Gray poem,Thomas Hardy
In another novel by this author，the title character stabs Alec，the father of her illegitimate child Sorrow,Thomas Hardy
For 10 points，name this author of Far from the Madding Crowd and Tess of the D'urᐧberᐧvilles,Thomas Hardy
In one work by this author，Michael Henchard and his antithesis，Donald Farfrae，successively hold the title position,Thomas Hardy
In a different work by this author，Gabriel Oak falls in love with Bathsheba Everdene; that novel's title comes from a line in Thomas Gray's  Elegy Written in a Country Churchyard，in which Gray describes the titular group's   ignoble strife,Thomas Hardy
In another work by this author，the title character murders her lover Alec; she is therefore not A Pure Woman Faithfully Presented，not even if this author says so,Thomas Hardy
For 10 points，name this author of  Far from the Madding Crowd，The Mayor of Casterbridge，and  Tess of the D'Urbervilles,Thomas Hardy
This author divided his books into categories like novels of ingenuity or novels of character and environment，which includes his book The Woodlanders,Thomas Hardy
In one of his novels，the protagonist’s partner abandons him for Philotson while he’s attempting to become a scholar Christminister,Thomas Hardy
In that novel by this author，the note  Done because we are too menny is left before Little Father Time hangs himself,Thomas Hardy
In another of this author’s novels，the protagonist is arrested at Stonehenge after stabbing Alec and leaving Angel Clare,Thomas Hardy
For 10 points，name this author of Wessex novels like Jude the Obscure and Tess of the D’Urbervilles,Thomas Hardy
3,Thomas Hardy
Dick Dewy and Francis Day fall in love in this author’s novel Under the Greenwood Tree,Thomas Hardy
The reappearance of the furmity-woman triggers the final downfall of the protagonist of one of this author’s novels,Thomas Hardy
Angel Clare meets the protagonist at a May Dance in a novel by this author，who opened another book with Michael Henchard selling his  wife and daughter for five guineas,Thomas Hardy
In a novel by this author，the title character is executed after she kills her rapist Alec,Thomas Hardy
